Name,Phone Number,date,genre
Jamison Severs,085-031-4296,7-10-2001,1
Griselda Levels,03045-193 97-61,1-3-1995,1
Norah Gildow,0246-24-2-17,15-5-1972,1
Renda Houskeeper,0293-06 1,22-9-1994,1
Roselee Gwynn,025368 084-985,14-3-1979,2
Francesco Pera,076019 168 24-53,20-12-2002,1
Janelle Gadberry,030947-48235 46,28-2-2001,2
Riva Richner,070336 25-02,17-7-1986,3
Annamarie Devendorf,068-631-47,24-9-1973,1
Marty Robinson,0596-14 16 24,14-4-1998,3
Glen Raybourn,040720417 13,22-8-1970,3
Candance Lynds,03928 0419690,9-6-1990,2
Houston Ezparza,08073-29 0832,7-5-1994,2
Arnoldo Galamay,0093486 71-1,11-6-1979,3
Lashonda Weidman,0342 156-5 90,24-5-1989,3
Hershel Defilippo,04671037-0180,17-12-1998,3
Bruno Vue,020 1763 14,8-5-1995,3
Leslee Emge,0584 081 8 49,22-7-1973,1
Leon Mondy,04265 804-06-60,1-10-1990,2
Charlie Medel,01-476 20 60,9-12-1977,2
Donnette Lashbrook,0514 806,11-5-1996,3
Alvaro Colfer,047535660 48,19-4-2002,3
Letisha Reindel,013 04679-69,25-12-2000,2
Jake Quinney,01082 7831669,22-6-1996,3
Gayle Avans,029-326 90-62,15-9-1977,1
Jeffery Hansbrough,024 613-28 89,27-3-1970,2
Lenny Redenbaugh,034203 398,28-10-1973,1
Jude Alvey,096582241-8372,1-8-1977,3
Minh Dionisio,0475349 24 27,2-11-1993,3
Huey Twedell,0507-197-0,24-12-1988,2
Jacquie Burbach,0326-58-09 0,9-11-1992,3
Orpha Geiss,02380875348,18-6-1973,2
Denese Escovedo,065 709-86,3-2-2002,3
Demarcus Dittrich,048-0795635,25-5-1994,1
Maximo Micco,06243-39 32 98,31-12-1986,3
Jc Zilnicki,008975 735 2 08,13-5-1993,3
Britt Savin,001-5813 0,25-12-1973,2
Pasty Garbett,07049 16 41,27-1-1996,3
Ernie Hegan,027 249-84-12,24-10-1972,2
Rolland Halsey,093 284 1 45,9-11-1982,3
Stevie Strebeck,01306 963 93-60,24-6-1970,3
Marylin Applegate,09412 572 92-58,2-6-2003,3
Stacia Kelleher,001969147523,9-11-1978,1
Khadijah Rouleau,08596 470 6781,3-9-2002,2
Lincoln Orantes,01276645-83 91,23-5-1995,1
Lindsey Vanvleck,0547-54023-17,29-1-1998,3
Tommie Diviney,098357 184,28-10-1998,1
Domenic Schwiebert,026017054 1 79,22-5-2005,2
Novella Sniezek,0550682 06,18-11-1990,2
Veronika Maisonet,040 645 07 28,25-8-1985,1
Nicky Schulweis,034791-975 3739,24-12-1981,1
Eileen Spearin,04236576-19-3,5-3-1976,3
Warner Cotty,046981-187387,12-5-1971,3
Gita Hogle,035 54-61 07,27-4-1985,2
Isa Debiasio,089869-67-34,5-7-1995,2
Manie Colafrancesco,042955475,28-3-1991,2
Kraig Millsap,0647-94-36-43,20-6-1974,1
Armando Nass,09612 03 2395,14-4-2004,1
Lou Mou,0682 037-191,5-3-1995,2
Erwin Halferty,0742-509 53 41,9-6-1970,2
Desmond Ruano,0845926-37 39,6-9-1992,1
Lawrence Bottom,010052-85-92,29-4-1993,1
Colette Irmeger,061 832 07-35,3-10-1971,2
Holley Mandrell,042360 05232 14,26-12-1973,1
Latrisha Trotman,003597 69170 74,16-8-1987,1
Dorsey Bertling,02056207 451,25-5-2001,3
Ronny Knoth,08302 032-61-50,19-9-1970,1
Sondra Spilker,071 765-53-80,21-9-1987,2
Theodore Ty,07814 352-7 85,1-7-1985,2
Donald Borgman,0643 19 4761,24-5-1980,1
Cortez Rodeheaver,0297625-9 65,14-6-1981,2
Tracy Weisenfels,06304-62 60,4-1-1991,2
Wilbert Cardonia,0543615 01 62,5-10-2004,2
Soila Queja,047-8091037,4-10-1971,3
Evelina Barge,0972 160 20 2,3-6-2005,3
Tisha Mccarry,090073-63-42,9-4-1987,1
Lyle Shute,03041412-64-8,15-11-1996,1
Yoshie Nyman,0837-075-3183,22-11-1978,1
Dee Lonsdale,0016970-5292,22-9-2002,1
Chester Dignan,010784-50 5-0,2-1-1973,2
Terrence Moorehouse,0051784-62 68,1-10-1992,2
Bruno Polaco,0728 45630-31,13-3-1981,1
Jannie Tinner,02 01274-95,1-4-2003,3
Kelsi Babauta,00149 0745790,21-4-1990,2
Mariano Sporn,010942 624 48,30-5-1974,1
Vilma Dunlow,091678-409-71 9,2-3-1986,2
Michael Mcmannus,0273 03 0415,6-9-1994,2
Lucinda Mcumber,0762895-509,10-4-1989,3
Harold Gave,071346 8-01,11-4-1976,1
Regina Ancheta,08106068-20-63,1-9-2001,1
Kraig Ezzell,081907453 96-3,29-9-1997,1
Lamont Bloodgood,009-71 5-42,1-1-2003,3
Rueben Erdman,047359 135643,14-4-1977,2
Sterling Teeter,0869 90-83 89,4-11-2002,1
Ross Heikkila,048026 473-5-45,14-11-2004,2
Rima Drew,068 951 175,13-12-1989,3
Deann Mess,0658-795165,12-3-2003,3
Diego Bear,001-942-0543,1-3-2002,2
Dustin Rozanski,042958921243,27-5-2000,1
Jacqulyn Hemond,080-786-40-72,13-9-1994,3
Shawnda Gubler,0531567096,15-12-1990,3
Erwin Lovecchio,030-307-038,2-6-1998,3
Tena Leonardis,082814-368,29-5-1988,1
Ervin Blanck,015 371-61 80,21-12-1976,2
Benedict Pennino,06971-03521-84,22-3-1974,3
Shera Berenbaum,0325 53 35 9,13-12-1992,2
Romaine Hillburg,0037853-91,9-9-1999,2
Signe Eberwein,0081-182 2460,11-8-1986,1
Lowell Gately,09452-82783,15-7-1989,3
Buck Dacunha,043 46 3 9,16-8-1982,1
Birgit Neel,03418-8419 76,21-8-1971,2
Vinnie Kulp,036-21-91-4,28-11-1989,3
Spring Bayer,0796-859-58-56,17-2-1971,2
Hien Cake,053718-67936-7,12-1-2003,1
Rupert Scahill,0856-90 58-0,26-1-2000,3
Darnell Brzoska,058215 28 60,1-8-1972,2
Laurice Heikes,05063-4730825,17-2-1978,3
Jesus Clarno,02115 0-04,31-9-1979,3
Yevette Hayduk,016069-9854,14-1-1995,3
Cole Mangrich,0904754-64-34,9-11-1973,2
Lindsay Willeford,01506921 98-5,11-8-1996,3
Hilde Shield,0936963-914,10-2-1994,2
Claudie Riska,098-367 82 27,3-2-1970,3
Conchita Tyre,02843 97001 70,18-3-1991,3
Ligia Overmeyer,08791 8686 73,2-12-1985,1
Alma Hilgefort,080246 506-81-12,22-3-1993,1
Lashaun Wilcox,058284 91 40,13-8-2001,1
Anderson Voller,040507 6432,27-4-1992,2
Claudio Reveal,09-497 1045,26-6-1984,1
Arron Zari,031486 70 35,9-1-1991,3
Carolee Donate,006 328-19 97,19-1-2001,2
Suzan Botkin,04607 07-4,5-5-2000,2
Junior Hugley,085012 247150,18-11-1982,1
Treasa Standiford,067927 16-67,10-5-1984,2
Leigh Rigaud,064103 5145,30-1-1971,1
Shantae Casparian,020935462942,6-2-1986,3
Donald Scheidel,048-327-217,20-11-1994,3
Darwin Sheroan,0936-319-6 34,26-1-1998,2
Gema Kitchell,0926 3401060,13-1-1977,2
Tracy Bandle,0596 4287169,4-9-1990,1
Karissa Scoggan,023 4059632,6-11-1989,1
Gerardo Lauritsen,0576582-9 40,10-5-1990,3
Filiberto Engelbrecht,02389 2783 81,5-12-1995,1
Lyle Joeckel,05092092-89,3-6-1988,3
Jame Atterson,026-265 81 21,1-1-1997,2
Arnold Thronton,026 693 79-94,9-1-1981,1
Kirsten Satterthwaite,057846041-2,16-4-1989,1
Rory Rea,0759-435 5-52,11-5-2004,2
Jared Lafoy,00768 27-853,16-11-2003,3
Gene Fujimoto,013 02690 23,12-2-1985,2
Libbie Mais,0746340-28-58,9-5-1970,2
Latrice Christescu,049-32-143,23-8-1975,1
Francis Shew,05149 625 38-07,4-6-1991,2
Ezequiel Driggars,0899405 57,19-6-1977,2
Mac Ralph,07631-9732-1,31-1-2001,1
Adolph Chesser,09745-819-3 9,19-5-1988,2
Lucila Bigalk,034 281-6775,24-8-1980,3
Alfredia Bridger,0836-954-65 64,6-8-1974,1
Leta Schlag,023-176 35-83,13-3-1983,2
Garret Dumay,09724 857-6531,30-9-1976,2
Alvin Durrani,0638-263-62-3,10-9-2005,3
Charise Ulstad,03009382 14,16-3-1980,3
Breanne Delcolle,007320564-86,16-12-1992,3
Eldora Yamazaki,0608-584 92-12,12-7-1999,3
Wally Allery,09348 57-70 43,18-11-1987,3
Jarvis Munez,093208-2136979,8-5-2003,2
Tamera Calwell,07535040 68,23-11-1973,3
Adena Helble,02933816104,22-11-1981,2
Tracie Cambell,02890 38 2836,7-1-1978,3
Harvey Blount,025045917-21,14-5-1983,1
Antionette Bogue,0163-452 69 6,10-9-2004,2
Shakita Demiel,089-84041-20,12-2-1996,1
Mirtha Salaam,02437 0642550,2-4-1980,2
Moshe Bridger,03-307-52 72,23-4-1976,1
Santos Broder,0764267-6 68,2-7-1995,1
Omer Brogan,04360779 6,24-8-1982,3
Kirby Leyson,06287 485 34 84,23-2-1979,3
Sherlene Ozment,0528 95-36-91,14-12-2000,2
Sam Bungo,0934982-46 19,1-4-2005,2
Josiah Maggs,007345 491-57 29,31-10-1975,3
Ben Arevalos,006 246 98-58,26-5-2000,1
Bertram Prillaman,00756-1232-09,18-7-2000,1
Vonnie Audain,09805767 09,1-10-1987,1
Jestine Fringer,0830-26-94-18,15-5-1979,2
Rodolfo Casal,009-914 2037,21-5-2003,2
Aubrey Creasy,007562 7915 85,17-1-1999,3
Glenn Tritch,004 0455-89,4-6-1972,2
Yael Aceves,0730 6847 03,11-10-1996,1
Renay Hernandaz,05907-086-38-86,7-7-1989,2
Elda Keough,043832706-15,26-8-2002,2
Brenda Cellucci,087 170 5270,3-6-1974,3
Caleb Leftridge,023645-018 180,13-3-1971,2
Quincy Seabrook,0782 949-82,12-5-2002,3
Ella Alavi,02168560 68,7-5-1973,3
Moshe Livingston,073298-248-67-39,18-3-2003,3
Amie Deslandes,0572651-60 21,31-11-1996,3
Krystin Kempen,07609468-96,31-9-1998,3
Bryanna Peragine,0351 29472-75,20-9-1991,2
Lance Smtih,070-93 2183,27-6-1971,2
Rubin Hirsbrunner,040857-497-20 51,10-8-1974,2
Kim Valsin,07165 649-9 68,4-2-1985,3
Jeffrey Mccrossen,042412316,14-12-1976,2
Candi Mallek,0156-04551 69,16-4-1975,2
Dewitt Espinola,05378 450-398,20-6-1998,1
Agnes Cunning,042 940 73-28,18-1-1992,3
Natashia Maize,00931979-68,10-11-2001,2
Nita Yearsley,04631585-86,10-4-1990,3
Johnsie Dunwoody,0486-158 57 6,3-6-1978,2
Jed Manetta,061840935 4-68,25-5-1991,1
Rene Lineberry,0586915027 96,9-12-2000,2
Duane Wortham,09181370-07,1-3-1994,2
Marceline Varley,0467 36183 28,1-10-1979,2
Jed Strieker,0608 93880-36,18-10-1979,1
Rolf Grames,092-0707 67,6-12-1984,3
Lucius Strande,028 98556-20,21-2-2004,2
Merle Colson,05267-658-8 07,30-8-1977,3
Rocio Poblete,067-4027156,3-7-1988,3
Jeanine Lamonda,062359 309-26-47,27-9-2005,3
Hong Bolte,0190878419-03,12-9-1992,3
Donn Loveday,05139 634 3 95,29-11-1984,2
Meg Cauley,0802 374 27 78,31-10-1997,1
Gilda Conlan,00-43 85 16,12-7-2001,2
Matt Bizub,029743-1340,20-1-1970,2
Alycia Coultrap,0208 1048,27-5-1992,3
Jamaal Vanhofwegen,05362 56 26 92,25-6-1979,3
Fredrick Feinstein,064 89 60 91,26-6-2003,2
Darrick Keedah,0415-03 35-73,17-9-2005,3
Evon Brinks,0239-29132 54,12-10-1977,1
Elvin Baddley,0740516903 17,21-6-1981,1
Kimberly Gehlhausen,0246 2629-21,20-10-1991,1
Oralee Bryand,05839 013-07,14-6-1985,3
Hipolito Sloss,007-4968406,7-12-1973,2
Cruz Boord,01398-39038-32,11-9-1976,3
Alma Guyton,05739-862-26 61,18-10-1972,1
Damien Wisnieski,076528 125 34-18,26-10-2003,2
Tracey Benham,05432-601919,8-2-1997,3
Librada Hoeck,00378-062 10 03,27-7-2005,3
Hubert Abel,015 346 036,7-10-1983,3
Lissa Rissler,009769-45-0,8-1-2004,2
Shalon Ambers,0840-105 58 13,23-12-1982,1
Anjanette Millhouse,04775627-03,24-8-1985,3
Nestor Willenbrink,078-846-79-94,30-9-2001,1
Lanny Sours,0956-036 5032,12-5-1993,2
Hassan Ridenhour,002-7227 3,9-11-1999,1
Jaime Brunnett,049156-28-79,23-1-1973,3
Iva Caamano,03801 51-542,1-1-1977,3
Spring Ellerd,08579-123 982,13-5-2004,3
Nicholas Vanacore,0943-5146-62,3-10-2004,1
Sophie Perrien,0792073643-79,12-5-2000,1
Shantel Loan,029-017166,16-8-2000,2
Kirstin Zieba,0471 86 04 8,9-4-1986,2
Summer Buran,037-438-7807,31-2-1976,3
Virgie Waterbury,04 5925-74,29-4-1996,2
Dorothea Rassel,093032 10-48,26-5-1992,3
Isaiah Mynhier,00263-382-86-75,30-1-1986,2
Carrie Rickards,08204675-32,23-3-1998,2
Marybelle Kehn,056391461734,2-4-1970,2
Humberto Rowlands,072 723541,14-4-1982,2
Renna Olofson,072540074 5076,13-3-1994,2
Toccara Dierking,097 97-1287,21-11-1971,1
Mark Powanda,036892 783 73 5,13-8-1982,1
Catrina Frumkin,049-345 1 1,12-8-1997,2
Vito Sciarra,0058 13486,22-7-1990,3
Bryce Lasky,08179-7 7,31-12-1994,1
Ronald Catoe,02106 2588007,8-2-1980,2
Reinaldo Klish,09023-50 05,13-5-2005,3
Simona Anzaldo,0810 817-75-63,7-5-1982,2
Raquel Parcel,06348 04-34 32,18-12-1996,3
Charlie Chenette,0187401-65-3,28-12-1981,3
Hong Bowan,08566248-86,20-6-1993,3
Ernest Rickmon,0425172 8480,26-10-1998,2
Minda Wege,0197-981 52 71,2-4-1974,3
Murray Bemrose,02963-958 79 72,17-9-1981,3
Claude Prock,052 372 565,30-9-1983,1
Stan Gabrielli,0972 650-4201,6-7-2002,3
Kortney Utter,02-654-5916,15-11-1990,1
Elois Bettle,047251635 6 0,20-10-1975,2
Julian Ellenbecker,0632182 54-32,2-8-2005,1
January Astacio,0395-10 9561,5-4-1996,3
Dakota Manfredonia,065 416 32-9,22-7-1993,1
Ernesto Demichiel,02769165 9272,16-8-1987,3
Valentine Sieracki,0473730-352,13-11-1981,2
Coleman Wascher,04350 715-86 21,18-8-1998,3
Garrett Franckowiak,08745 41 069,26-8-1983,2
Jarrett Staniford,090-260-21-27,29-6-1987,1
Brittny Fullam,062 301987,3-8-1983,2
Judie Glende,0692-974378,4-6-1981,2
Coral Keenum,023178 457,20-1-2001,3
Lakita Cossio,00976-417 85 4,9-9-1978,1
Ana Seltzer,097802186-239,22-3-1992,2
Winford Winebrenner,09420 59042-29,19-10-1976,2
Mandi Frantz,087783-7349,28-12-1995,1
Etha Dunmore,016 36 37-13,2-3-1987,3
Dee Deman,09702 9286-69,13-11-1987,1
Antoine Search,008482665 2,29-4-1978,2
Derrick Hillan,03159 059-46-56,25-11-1980,1
Micheline Lauricella,01245 49 58-92,24-11-1990,3
Pedro Dieteman,085430 24546 61,31-2-1973,2
Georgiana Kenwood,034-235 7584,5-2-1986,1
Mariela Zuhlke,0625676-15,22-4-1985,2
Latashia Barras,018900763991,3-12-1994,1
Aurelio Steadman,0701023-8432,8-3-1989,1
Al Mestad,046-10 8587,26-3-1987,3
Filiberto Pawlik,0407 501-9084,12-2-2001,1
Ariana Rager,06-894 382,29-10-1981,1
Wilson Longiotti,0583947 36-17,10-3-2004,3
Andrew Bentley,078 410 75 63,26-9-1977,3
Kraig Schurg,0280 794-850,18-7-1979,1
Dewitt Serafin,0903-2842 81,12-4-2003,1
Lane Christen,08520 196 753,29-3-1977,2
Hunter Hillie,0410768721,26-8-1998,2
Richie Patino,0540 387 7959,2-5-2004,1
Edmund Mcclaskey,0624059 4902,12-10-1974,2
Leonel Wisman,0745-569-6 90,11-8-1983,1
Lamonica Hayzlett,07869-92-5 97,20-8-2000,1
Audrey Dimatteo,045673 021-13-43,9-4-1973,2
Billie Coppolino,050391 71-1973,22-11-1976,1
Theresia Swanton,00214-452 10-71,27-10-1991,1
Gerald Storms,06278458908-32,27-10-1978,3
Fran Linscomb,068-094-8661,11-4-1986,3
Evia Saggio,08976935 90 65,18-8-1986,3
Donnie Jurkowski,00842-29-37-24,21-5-1970,3
Hanh Norstrom,037812-572 0-03,8-3-1978,1
Wilson Juran,01875-37-9568,20-11-1982,2
Randell Lauth,0410-271-01-89,28-7-1970,2
Nigel Hutchinson,0138-59-991,1-9-1977,2
Reyna Shark,071 862 25-27,4-3-1991,2
Ariana Labor,091704-31-9832,22-11-2005,2
Christene Swecker,037462-015-03-30,9-1-1985,1
Cary Teele,06507 29869 15,25-8-1976,3
Leandro Randel,03699141 24,29-7-1996,1
Vaughn Pavlock,07326 93487-60,22-1-1972,1
Dick Ramiro,069728 4-6,10-10-1987,3
Idell Valle,048 576-53 71,22-12-1970,2
Ervin Beatrice,02968 09675 68,12-9-1993,3
Norbert Kascak,0431 153-93-05,26-12-1987,1
Bethany Briere,00734 614 42 03,27-2-1973,1
Barrett Mentnech,06235 47-93 95,29-7-1979,3
Carlos Dine,0135196 10-71,18-9-1987,1
Gale Hudgens,0648-038 4038,6-7-1970,3
Bruna Goepfert,051974673 02,27-5-1989,2
Marvin Pointon,054 769-68 63,18-8-1985,3
Lisbeth Boerboom,0012 260-24 39,2-3-1970,1
Ollie Longfellow,043295840,13-11-1995,2
Joeann Buffington,05951217 26,14-9-1981,3
Norbert Schepp,039-052-395,24-11-1993,2
Mirian Mussel,0178-735 15 37,13-8-1999,3
Dennise Ososkie,05601 69567-74,18-1-1992,3
Olin Doolin,0168 732-52-03,11-1-1998,3
Stephania Goodly,0356 82 37-84,21-3-1979,3
Arline Burgess,009-2839169,14-12-2001,2
Val Yamat,03661-01 95,27-8-1994,2
Raymond Overpeck,03685671097,3-2-1996,2
Markus Jebbett,0834 561 45-5,3-11-1972,3
John Rombach,06091-413144,8-3-1985,1
Damion Fechner,03471 50 31-25,7-11-2001,1
Heide Berthiaume,0429-54721-68,27-1-1995,2
Clora Desir,002929642 58,27-2-1974,2
Bridgett Hemple,074019 450 26 21,1-6-1995,3
Stewart Walmer,0023886-24-86,4-6-1987,2
Julietta Culcasi,0805-514595,18-3-1971,3
Chae Michaux,04198 09460-71,16-7-1998,3
Caleb Clagett,05819 369 4-58,18-1-1981,1
Alonso Magelssen,073503 198,9-5-1982,3
Marchelle Carmichael,016293-890 29 31,1-4-1974,3
Dani Jobin,028191 41-18,30-5-1991,3
Zola Burrall,05729 586-15-86,1-2-1988,1
Bess Grisanti,08279 6834717,28-6-1972,3
Johnathon Thai,09356-709-8315,12-10-1994,3
Amber Anselmi,001323086-87,5-5-2000,2
Marti Striplin,021060278 39,1-4-1987,2
Colby Blanco,07092-19286 71,8-6-2000,3
Joan Canes,089-237-59-67,24-2-1984,3
Leonie Wyrosdick,0827 07-4336,3-10-1972,3
Maynard Falks,0968 96381 09,26-7-1990,2
Heidy Leuck,09 582-4578,3-3-1987,2
Lacy Nin,09502570 5 3,17-6-1976,1
Thora Tobery,05607 749296,2-3-1979,2
Charlyn Barba,096-6244340,26-3-2005,1
Graham Pagliuca,06743 561 73 64,12-2-1995,1
Chauncey Riniker,0638 25-6967,15-3-1980,2
Jutta Gruenwald,09865 384-072,12-6-1972,1
Sung Ohlsen,070 30 52-93,10-10-1977,1
Lura Emlay,027-178 34 34,5-9-1978,2
Antione Cerutti,08749-47 579,15-3-2002,1
Florrie Bloch,0059879 4085,4-8-2005,1
Napoleon Carlee,0058-617-17-37,8-4-2005,3
Colby Hittson,079160-231 5236,1-7-1986,1
Karly Ream,061854 0462487,19-5-1988,2
Enrique Langlo,03548-94 76-86,29-6-1977,1
Salvatore Stansbery,0571872 985,10-3-1998,3
Dexter Furbee,03609 029 6 3,5-10-1997,3
Deloris Herzig,0452-490-29 58,24-3-1992,1
Desire Welte,085419-7564683,2-8-1998,3
Blake Souther,03208-308-82-20,20-3-1988,1
Maybelle Stalker,098028954824,20-11-1993,2
Anastacia Rackett,069 98520-21,18-4-2000,3
Lillian Mckendry,025724 20 19,1-6-1993,3
Elinor Rao,01238 74 84-65,12-9-1981,3
Malcom Wactor,0103 845 69 93,26-9-1982,2
Tora Ostler,0049026-67-14,1-11-1997,1
Glen Manhardt,03167 29-64-98,9-6-2002,1
Nereida Weimar,02652-0-68,11-6-1982,3
Sheldon Moulden,045 54178-56,29-1-1973,2
Arnoldo Seipel,0542-35209 83,21-4-2004,2
Russ Schnakenberg,009671 89 64,21-12-1981,1
Danyel Velotta,08935-508-2-09,17-3-1996,2
Zandra Bruington,05932720 49,2-4-1993,3
Barbar Swartzwelder,096 241 8 13,3-5-1986,2
Penny Desper,0791 02-671,24-1-2001,3
Rosia Rakes,0593 5889 23,16-8-1983,3
Elbert Schieler,0872-20 1-73,7-9-2000,1
Julian Kindig,069 84-50-7,23-4-1970,3
Luke Florian,070 298 643,30-6-1990,2
Cristina Hunstiger,0092-864-06 17,30-10-1983,1
Zane Rolla,01435-812-5169,21-4-1980,1
Glory Kroner,0324201 38 41,12-10-1996,3
Marylouise Ramkissoon,0792-70-38-17,29-7-1972,1
Ty Shigo,06278 82319,28-3-1980,1
Rupert Thayn,0681 0158547,20-7-1970,3
Chandra Pencek,050 2071-59,25-2-1974,1
Yoko Esterly,010 104-76 42,15-9-1992,1
Rufus Kamaunu,0495-389-0582,23-6-1986,2
Corrie Kaelin,020 4915824,11-11-1970,2
Rosio Brasel,079 36 4172,4-6-1998,1
King Monsegur,048650-37-53,24-12-1978,1
Alexander Wand,05893 256-57 58,26-3-1984,2
Eloy Elwer,032 816 1 30,31-3-1987,3
Bari Beatie,0932 6563-7,20-8-1987,1
Jorge Swire,0245 06-0126,3-9-1977,3
Eddy Afanador,04672 681-3180,9-3-1987,2
Annmarie Babula,0245268-38 02,27-8-1987,3
Marylyn Crazier,007-47395 28,24-4-1978,1
Jerrod Paik,07094 96243-39,9-9-1979,1
Jordon Grilli,0650370-4832,27-12-1987,3
Moshe Perfecto,02510-62-794,5-10-1992,3
Alec Cornman,04963-297 2 3,5-6-1984,1
Juanita Robillard,06312 967427,20-10-1979,3
Mickey Robnett,056042-1 54,16-10-1993,3
Malik Battle,086 7452652,12-2-1995,2
Omega Goin,048 257 419,16-7-1974,1
Melodee Ruther,082845-19 19,1-3-1972,1
Rochelle Harshfield,049-2938-05,15-3-1972,3
Julio Westmark,04186-654 90-74,4-11-1977,2
Patti Napier,0908-246 23 6,3-11-1997,2
Dwain Milera,0208-23-19,19-10-1977,3
Nikole Jerido,00412-943-02-64,31-1-1991,3
Twanda Toupin,04-68 2784,4-3-1996,3
Larisa Rances,062546 3629,2-6-1987,1
Zelma Rosero,02406 925-52 79,16-2-1973,2
Margo Agnello,04067-7881 29,5-6-1973,2
Martine Hesley,05764 0295,11-1-1990,1
Desmond Gampp,09356 826 300,30-3-1970,3
Michaele Gabardi,02068879-85 8,12-4-1985,3
Pat Ellenburg,0501-8399572,5-7-1977,1
Santiago Calderone,030128-4-27,16-12-2004,2
Danita Remsen,014 031-7848,17-3-1971,1
Rosario Bergmeier,09815 81-1278,21-10-1996,2
Lorenzo Schleuder,00592-284-205,16-4-1987,1
Van Sawyers,0876 079-80 53,12-11-1970,3
Charita Tolhurst,041-016-90 60,12-2-1983,1
Tianna Vandoren,0892-4981-6,3-12-1987,3
Cyril Catrone,0157 9178775,23-4-1997,1
Billy Fallin,01796-879-71-70,27-9-1993,3
Chang Pery,00135 4057 24,1-4-1987,2
Renna Faggins,01428-7233670,30-8-1983,3
Violet Scharp,01237-704-56 07,18-1-1986,2
Ayana Zielinski,0753-10-85,27-8-1974,1
Doyle Sannicolas,0763216-90 78,14-4-1982,3
Solomon Balog,06027-640 91 70,15-6-2003,2
Earnest Dentremont,0918 72 3 15,8-12-1998,1
Rufus Kofman,069580 728-6770,30-7-1984,3
Patty Knopp,031452 4905,6-8-1977,1
Darwin Gurner,056281-6421062,24-11-1995,3
Jonelle Kohn,05142-36 10-2,6-10-1995,2
Arthur Borchelt,030568-30-8,27-2-1991,1
Demetrius Fujioka,06182 056-2680,18-8-1977,3
Beula Hsi,096-043-82 9,2-12-1970,2
Chung Wyant,096931-050,23-11-1973,1
Stephan Wardsworth,09718-36-5 91,4-12-1996,3
Carol Yetter,0812-260 3070,28-6-1988,1
Marcelino Greger,03 138 6214,1-8-1989,2
Iola Bradac,04980-01-10,28-11-1999,2
Marcie Plageman,06234 56572,2-8-1994,1
Jonathon Rougeot,0832843 25 07,18-1-1985,1
Lavern Kalloch,070 367754,17-2-1990,1
Derick Conver,026 60226-1,2-6-2002,1
Angle Speckman,08467254 63-94,16-3-1985,2
Walter Dentler,03018203-0357,3-2-1983,3
